date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:21:40	1337/1337	---MCZ	404	error ('Not%20Found')	text/html	etag:1772183177-ssl-df	https://nutrition-theme.netlify.app/robots.txt		(from )
11:21:41	35935/35935	---MCZ	200	added ('OK')	text/html	etag:%22cdb9154c0743b0add37d1ec0e18e4ac0-ssl-df%22	https://nutrition-theme.netlify.app/	C:/Users/super/OneDrive/Escritorio/heath/nutrition-theme.netlify.app/index.html	(from )
11:21:41	4140/4140	---M--	200	added ('OK')	image/png	etag:%2216e63b0260395f7134c7cf3068973407-ssl%22	https://nutrition-theme.netlify.app/assets/images/nutrition-plan.png	C:/Users/super/OneDrive/Escritorio/heath/nutrition-theme.netlify.app/assets/images/nutrition-plan.png	(from https://nutrition-theme.netlify.app/)
11:21:42	232948/232948	---MCZ	200	added ('OK')	text/css	etag:%22d59f66acab4345ce6c61cccf426dbb8c-ssl-df%22	https://nutrition-theme.netlify.app/assets/css/bootstrap.min.css	C:/Users/super/OneDrive/Escritorio/heath/nutrition-theme.netlify.app/assets/css/bootstrap.min.css	(from https://nutrition-theme.netlify.app/)
11:21:42	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%22ee61feff93cef5568ebb39efb2ebe3a1-ssl-df%22	https://nutrition-theme.netlify.app/assets/css/aos.css	C:/Users/super/OneDrive/Escritorio/heath/nutrition-theme.netlify.app/assets/css/aos.css	(from https://nutrition-theme.netlify.app/)
11:21:43	18454/18454	---MCZ	200	added ('OK')	text/css	etag:%225b36600d9e1564000aa4212621a7e83c-ssl-df%22	https://nutrition-theme.netlify.app/assets/css/swiper-bundle.min.css	C:/Users/super/OneDrive/Escritorio/heath/nutrition-theme.netlify.app/assets/css/swiper-bundle.min.css	(from https://nutrition-theme.netlify.app/)
11:21:44	102526/102526	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Nov%202023%2018:34:15%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	C:/Users/super/OneDrive/Escritorio/heath/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	(from https://nutrition-theme.netlify.app/)
11:21:44	43598/43598	---MCZ	200	added ('OK')	text/css	etag:%2261bbc6fc130cfce48bad573a0a5d916d-ssl-df%22	https://nutrition-theme.netlify.app/assets/css/style.css	C:/Users/super/OneDrive/Escritorio/heath/nutrition-theme.netlify.app/assets/css/style.css	(from https://nutrition-theme.netlify.app/)
11:21:45	32896/32896	---MCZ	200	added ('OK')	text/html	etag:%22c00128593e20b2dc69d96d8879934e2a-ssl-df%22	https://nutrition-theme.netlify.app/weight-loss-program	C:/Users/super/OneDrive/Escritorio/heath/nutrition-theme.netlify.app/weight-loss-program.html	(from https://nutrition-theme.netlify.app/)
11:21:45	32856/32856	---MCZ	200	added ('OK')	text/html	etag:%222b45ccdb4fd4f462716e4654f1e16e7d-ssl-df%22	https://nutrition-theme.netlify.app/muscle-gain-program	C:/Users/super/OneDrive/Escritorio/heath/nutrition-theme.netlify.app/muscle-gain-program.html	(from https://nutrition-theme.netlify.app/)
11:21:46	33183/33183	---MCZ	200	added ('OK')	text/html	etag:%22a518d1435509471c155b5a8e2da473be-ssl-df%22	https://nutrition-theme.netlify.app/diet-plan	C:/Users/super/OneDrive/Escritorio/heath/nutrition-theme.netlify.app/diet-plan.html	(from https://nutrition-theme.netlify.app/)
